id,label,timeset,url,title,authors,year,cited_by,cited_by_url,modularity_class
5178473033033026679,Bystander intervention as a prevention strategy for campus sexual violence: perceptions of historically minoritized college students,,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11121-020-01134-2&casa_token=c0pcy4VsQy0AAAAA:Ud4qE8aOs_YzVIYlypgIjTj5He-9WWbOI9hdH1Y-GWr5RNPTwNZjJxEiyLXkjNTuwkuzMN_F92mrqXkE,Bystander intervention as a prevention strategy for campus sexual violence: perceptions of historically minoritized college students,"S McMahon, J Burnham, VL Banyard",2020,6,"https://scholar.google.com/scholar?cites=5178473033033026679&as_sdt=20000005&sciodt=0,21&hl=en",7
2386081261236217908,Age and sexual orientation moderated the effects of a bystander-focused interpersonal violence prevention program for high school students,,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11121-021-01245-4&casa_token=w4QwQTMABIIAAAAA:JswMKGK-YZpLHod1RyWfJBbcAdpSeY7adHSU8isQFxBxQtNC8LLqqN7l1vG03P3IJee7vonKWIRZyq0B,Age and sexual orientation moderated the effects of a bystander-focused interpersonal violence prevention program for high school students,"EA Waterman, KM Edwards, VL Banyard, H Chang",2021,2,"https://scholar.google.com/scholar?cites=2386081261236217908&as_sdt=20000005&sciodt=0,21&hl=en",7
Hbe0RbKnUlEJ,Combating Sexual Violence on College Campuses: Exploring the Relationship Between Values and Bystander Intervention Among College Students,,https://pilotscholars.up.edu/etd/85/,Combating Sexual Violence on College Campuses: Exploring the Relationship Between Values and Bystander Intervention Among College Students,S Meiser,2021,,,7
12307804854711622255,"When it's safer to walk away: Urban, low opportunity emerging adults' willingness to use bystander behaviors in response to community and dating violence",,https://www.sciencedirect.com/science/article/pii/S0190740920322556?casa_token=ESa7OX2MZOcAAAAA:LgL4NmHzJX0NiIz_GAI8HW0MLVKsEGSrm5qsoQDxtVOqpR70Y75pgAe8Jafe4FWXf0TQN9BPYQ,"When it's safer to walk away: Urban, low opportunity emerging adults' willingness to use bystander behaviors in response to community and dating violence","HL Storer, JS McCleary, S Hamby",2021,,,7
7062006862972443117,"Gender, myths, and assumptions: correlates of risk perception in sexual assault scenarios",,https://journals.sagepub.com/doi/abs/10.1177/08862605211035867?casa_token=Hv76UOzrSfEAAAAA:XU9GUKs__2PYH74Ey4mSY6IDDpohhQbFnqCxg50VzvISsHKYaAYH_i8S1WFAw4KZoiNFNiW86WUV,"Gender, myths, and assumptions: correlates of risk perception in sexual assault scenarios","MD Hetzel-Riggin, S James, R Roby…",2021,,,7
1469096727363297235,"A novel model for generating creative, community-responsive interventions to reduce gender-based violence on college campuses",,https://www.mdpi.com/1660-4601/18/15/7933,"A novel model for generating creative, community-responsive interventions to reduce gender-based violence on college campuses","S Graham, CC Zha, AC King, AW Banchoff…",2021,,,7
3138835019420585642,The effectiveness of college dating violence prevention programs: a meta-analysis,,https://journals.sagepub.com/doi/abs/10.1177/15248380211036058,The effectiveness of college dating violence prevention programs: a meta-analysis,"JS Wong, J Bouchard, C Lee",2021,,,7
3949633040183525282,When can I help? A conceptual framework for the prevention of sexual violence through bystander intervention,,https://journals.sagepub.com/doi/abs/10.1177/1524838011426015?casa_token=tyN4E_AfliMAAAAA:KrgW6ykA5wAbSkscBAi1eCtmzH9sahBxJEqzpQh7SYk-XvaqZ78CHVSFyze-8thQt7c_nNVxPnmM,When can I help? A conceptual framework for the prevention of sexual violence through bystander intervention,"S McMahon, VL Banyard",2012,360,"https://scholar.google.com/scholar?cites=3949633040183525282&as_sdt=20000005&sciodt=0,21&hl=en",1
14907931210131633537,Report on the AAU campus climate survey on sexual assault and sexual misconduct,,https://ira.virginia.edu/sites/ias.virginia.edu/files/University%20of%20Virginia_2015_climate_final_report.pdf,Report on the AAU campus climate survey on sexual assault and sexual misconduct,"D Cantor, B Fisher, SH Chibnall, R Townsend, H Lee…",2015,794,"https://scholar.google.com/scholar?cites=14907931210131633537&as_sdt=20000005&sciodt=0,21&hl=en",1
4932472455820013995,Who will help prevent sexual violence: Creating an ecological model of bystander intervention.,,https://psycnet.apa.org/journals/vio/1/3/216/,Who will help prevent sexual violence: Creating an ecological model of bystander intervention.,VL Banyard,2011,302,"https://scholar.google.com/scholar?cites=4932472455820013995&as_sdt=20000005&sciodt=0,21&hl=en",0
