id,label,timeset,url,title,authors,year,cited_by,cited_by_url,modularity_class
309465948484959228,"Contested publics: Racist rants, bystander action and social media acts of citizenship",,https://journals.sagepub.com/doi/abs/10.1177/1329878X1415100109?casa_token=RP_aZF7YsuMAAAAA:5SwAMwqXTfjcORHFF5usQY6pJdkl9xRSTEN7tAbK3sAkUBTuDjKMWmqbMuAWX_98zzDGIOHUKcCn,"Contested publics: Racist rants, bystander action and social media acts of citizenship","A McCosker, A Johns",2014,21,"https://scholar.google.com/scholar?cites=309465948484959228&as_sdt=5,39&sciodt=7,39&hl=en",1
10575618967084374810,Bystander anti‐racism: A review of the literature,,,Bystander anti‐racism: A review of the literature,,,,,0
10968655744279111124,"Looking at, through, and with YouTube",,https://scholarcommons.scu.edu/comm/102/,"Looking at, through, and with YouTube",PA Soukup,2014,89,"https://scholar.google.com/scholar?cites=10968655744279111124&as_sdt=5,39&sciodt=7,39&hl=en",1
8806179668866587042,"Social media activism at the margins: Managing visibility, voice and vitality affects",,https://journals.sagepub.com/doi/abs/10.1177/2056305115605860,"Social media activism at the margins: Managing visibility, voice and vitality affects",A McCosker,2015,38,"https://scholar.google.com/scholar?cites=8806179668866587042&as_sdt=5,39&sciodt=7,39&hl=en",1
14892727334694246454,Digital Citizenship as Fluid Interface,,https://books.google.com/books?hl=en&lr=&id=EePaDwAAQBAJ&oi=fnd&pg=PA1&ots=oLni3XEvtq&sig=9SBbGyhGG6QzDJ3oeejcqgHUyRw,Digital Citizenship as Fluid Interface,"S Vivienne, A McCosker, A Johns",2016,24,"https://scholar.google.com/scholar?cites=14892727334694246454&as_sdt=5,39&sciodt=7,39&hl=en",1
1025277034193749545,"Youth, social cohesion and digital life: From risk and resilience to a global digital citizenship approach",,https://journals.sagepub.com/doi/abs/10.1177/1440783320919173?casa_token=uV4zc9NrjrEAAAAA:dDwNnz4kRB0Jcp8v-hwQkLyP0avAlrU027okcOvnaH39PfrudYyIzsvSgZ70uSXtMl1BQsICdlKC,"Youth, social cohesion and digital life: From risk and resilience to a global digital citizenship approach","A Harris, A Johns",2020,11,"https://scholar.google.com/scholar?cites=1025277034193749545&as_sdt=5,39&sciodt=7,39&hl=en",1
17367700807851373390,Everyday equalities: Making multicultures in settler colonial cities,,https://books.google.com/books?hl=en&lr=&id=14SkDwAAQBAJ&oi=fnd&pg=PT4&ots=H7JSyIR1_X&sig=SQG2zOz1tdhT06-HyLGmczVABPU,Everyday equalities: Making multicultures in settler colonial cities,"R Fincher, K Iveson, H Leitner, V Preston",2019,9,"https://scholar.google.com/scholar?cites=17367700807851373390&as_sdt=5,39&sciodt=7,39&hl=en",1
11412301921730810009,"Racism, Hate Speech, and Social Media: A Systematic Review and Critique",,https://journals.sagepub.com/doi/abs/10.1177/1527476420982230,"Racism, Hate Speech, and Social Media: A Systematic Review and Critique",A Matamoros-Fernández…,2021,5,"https://scholar.google.com/scholar?cites=11412301921730810009&as_sdt=5,39&sciodt=7,39&hl=en",1
7135362856131197220,Mapping a Changing Field,,https://www.degruyter.com/document/doi/10.14361/dcs-2018-0203/html,Mapping a Changing Field,"L Jørring, A Valentim, P Porten-Cheé",2018,7,"https://scholar.google.com/scholar?cites=7135362856131197220&as_sdt=5,39&sciodt=7,39&hl=en",1
1007530986899796017,Intimate interventions: Responses to racist talk in families,,https://www.sciencedirect.com/science/article/pii/S1755458620300232?casa_token=BOe9wS8odW0AAAAA:wPjN5eyckFbgJpuCuCqsp-yLVgMA5BB6Lv6M23itqhCZBjGauEiWfsUCIrgvevq2g8LVUQn1RA,Intimate interventions: Responses to racist talk in families,JK Nelson,2020,2,"https://scholar.google.com/scholar?cites=1007530986899796017&as_sdt=5,39&sciodt=7,39&hl=en",1
9606610618249911204,The Routledge Encyclopedia of Citizen Media,,https://www.taylorfrancis.com/books/mono/10.4324/9781315619811/routledge-encyclopedia-citizen-media-mona-baker-bolette-blaagaard-henry-jones-luis-p%C3%A9rez-gonz%C3%A1lez,The Routledge Encyclopedia of Citizen Media,"M Baker, BB Blaagaard, H Jones, L Pérez-González",2020,2,"https://scholar.google.com/scholar?cites=9606610618249911204&as_sdt=5,39&sciodt=7,39&hl=en",1
3095398255782451396,Technology mediated citizenship: What can we learn from library practices,,https://link.springer.com/chapter/10.1007/978-3-030-58141-1_9,Technology mediated citizenship: What can we learn from library practices,"MS Gustafsson, E Wihlborg, J Sefyrin",2020,1,"https://scholar.google.com/scholar?cites=3095398255782451396&as_sdt=5,39&sciodt=7,39&hl=en",1
16125824443143660380,"Moral panic 2.0: white nationalism, convergence culture, and racialized media events",,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.726614,"Moral panic 2.0: white nationalism, convergence culture, and racialized media events",RS Sutherland,2017,1,"https://scholar.google.com/scholar?cites=16125824443143660380&as_sdt=5,39&sciodt=7,39&hl=en",12
QGyFMj3IjJ8J,Digital Citizenship Infrastructure to Foster the Reinforcement of National Identity in Indonesia1,,https://www.ceeol.com/content-files/document-986755.pdf,Digital Citizenship Infrastructure to Foster the Reinforcement of National Identity in Indonesia1,S Nurbayani,ceeol.com,,,1
rkPkWYCX0LYJ,Hate in the Open,,https://link.springer.com/chapter/10.1007/978-3-319-51424-6_6,Hate in the Open,A Klein,2017,,,1
17052735400587384238,An Online Australian Drug Discussion: Illicit drug policy and the Australian Drug Discussion (AusDD) forum,,https://researchprofiles.canberra.edu.au/files/42024074/Final_Thesis_Liam_Engel_RR.pdf,An Online Australian Drug Discussion: Illicit drug policy and the Australian Drug Discussion (AusDD) forum,LB Engel,2020,,,1
1UswgXWsBHYJ,Systematic review of 15 years of research on digital citizenship: 2004–2019,,https://www.tandfonline.com/doi/abs/10.1080/17439884.2021.1941098?casa_token=blgtvCOiWjsAAAAA:nO4GGhQZLHKOsj_9abOwfTYWpOGXENB7t6XXKjxchsvAD8zyVKwShhqANmjBFkd3_AIwLAcd9a7a,Systematic review of 15 years of research on digital citizenship: 2004–2019,"JW Richardson, F Martin, N Sauers",2021,,,1
207357673173113240,The Immigration-Crime Myth: Exploring the Impact of Immigration on Neighbourhood Violence,,https://core.ac.uk/download/pdf/132587226.pdf,The Immigration-Crime Myth: Exploring the Impact of Immigration on Neighbourhood Violence,M Sydes,2017,,,1
2693899148233867062,At home in public: The work of mobility and anti-racist mobile witnessing practices,,https://www.elgaronline.com/abstract/edcoll/9781786432926/9781786432926.00016.xml,At home in public: The work of mobility and anti-racist mobile witnessing practices,J Lloyd,2017,,,1
wvsR1uqJE5gJ,"Looking at, with, and through YouTube™",,https://search.proquest.com/openview/7d16d19796a46e2fa5794221c9925996/1?pq-origsite=gscholar&cbl=15,"Looking at, with, and through YouTube™",AD YouTube,search.proquest.com,,,1
N9yj7mstn6QJ,Affective combat against online racism about Māori,,https://researchspace.auckland.ac.nz/bitstream/handle/2292/50702/whole.pdf?sequence=2&isAllowed=y,Affective combat against online racism about Māori,J Rankine,2020,,,1
12726324557608836938,Bystander im Clear-Net–Der Fall Heße,,https://www.degruyter.com/document/doi/10.1515/zfsoz-2019-0020/html,Bystander im Clear-Net–Der Fall Heße,"T Kron, C Laut",2019,,,1
10580472123093954114,"Rapport de recherche au programme Actions concertées. Pratiques culturelles numériques et plateformes participatives: opportunités, défis et enjeux",,http://espace.inrs.ca/id/eprint/7894/,"Rapport de recherche au programme Actions concertées. Pratiques culturelles numériques et plateformes participatives: opportunités, défis et enjeux","N Casemajor, G Bellavance, G Sirois",2018,,,1
376644887802404590,"Social media conflict: Platforms for racial vilification, or acts of provocation and citizenship?",,https://search.informit.org/doi/abs/10.3316/ielapa.113721154004526,"Social media conflict: Platforms for racial vilification, or acts of provocation and citizenship?","A Johns, A McCosker",2015,10,"https://scholar.google.com/scholar?cites=376644887802404590&as_sdt=5,39&sciodt=7,39&hl=en",1
10876172648958321983,Reducing racism against Māori in Aotearoa New Zealand,,https://www.psychology.org.nz/journal-archive/Reducing-racism-against-M%C4%81ori-in-Aotearoa-New-Zealand.pdf,Reducing racism against Māori in Aotearoa New Zealand,"S Pack, K Tuffin, A Lyons",2016,17,"https://scholar.google.com/scholar?cites=10876172648958321983&as_sdt=5,39&sciodt=7,39&hl=en",1
7509802387459329838,Prejudice,,https://link.springer.com/chapter/10.1057/978-1-137-51018-1_16,Prejudice,K Tuffin,2017,9,"https://scholar.google.com/scholar?cites=7509802387459329838&as_sdt=5,39&sciodt=7,39&hl=en",8
16352548098774951757,Aggressive confrontation shapes perceptions and attitudes toward racist content online,,https://journals.sagepub.com/doi/abs/10.1177/1368430220935974?casa_token=wY8Wu4eRTSEAAAAA:354EfMzGL0hhNJ_iDrrrBlp7E072V8lCiFa5HqYfohumwl2wZwTMLLbAc2GA_hDpLq2F-fdbBU8T,Aggressive confrontation shapes perceptions and attitudes toward racist content online,"C Meyers, A Leon, A Williams",2020,4,"https://scholar.google.com/scholar?cites=16352548098774951757&as_sdt=5,39&sciodt=7,39&hl=en",11
5578105239372913931,Engagement and interaction with online news: a case study of housing affordability discussions on Facebook,,https://journals.sagepub.com/doi/abs/10.1177/1329878X18782998?casa_token=_IOQubVZtKsAAAAA:FfTaPRJ8kuvTCnaESNtr9wtVzcOiz9c7dKLAU4xXP6RxyhRbqRzhApLaaR6sBjV6x7RV2_wJRyWV,Engagement and interaction with online news: a case study of housing affordability discussions on Facebook,"M Vaughan, A Vromen, F Martin",2018,,,1
26-0QBcJJVUJ,Disrupting Hostile Speech on Social Media: Indigenous Fishers and Allies Push Back for Ecojustice,,https://newprairiepress.org/cgi/viewcontent.cgi?article=4114&context=aerc,Disrupting Hostile Speech on Social Media: Indigenous Fishers and Allies Push Back for Ecojustice,S Goto,2019,,,1
oLk5GO8e4sgJ,Zwischen Skylla und Charybdis? Die Zukunft der Demokratietheorie im digitalen Zeitalter,,https://link.springer.com/chapter/10.1007/978-3-658-30997-8_4,Zwischen Skylla und Charybdis? Die Zukunft der Demokratietheorie im digitalen Zeitalter,G Kaya,2020,,,1
OxUaAMvDLKoJ,"C0NTESTED PUBLICS: RACIST RANTS, BYSTANDER ACTION AND SOCIAL MEDIA",,https://www.academia.edu/download/34189336/McCosker___Johns_Contested_Publics_Racist_rants___social_media_acts_of_citizenship_MIA_2014.pdf,"C0NTESTED PUBLICS: RACIST RANTS, BYSTANDER ACTION AND SOCIAL MEDIA","A McCosker, A Johns",academia.edu,,,0
