1396860284560715783,https://twitter.com/sbmclassic1988/status/1396860284560715783,sbmclassic1988,@IDF From Tanzania East Africa. I support Palestine 🇵🇸✌️,0.4019
1405352245730811910,https://twitter.com/Zarryx1/status/1405352245730811910,Zarryx1,@sbmclassic1988 @IDF May Allah bless you,0.4215
1396853460952256517,https://twitter.com/SuchitraVarkal/status/1396853460952256517,SuchitraVarkal,@IDF Israel - Technology n Innovation at it's best in the World.,0.7783
1405352161333026822,https://twitter.com/Zarryx1/status/1405352161333026822,Zarryx1,@SuchitraVarkal @IDF Yet they use to kill civilians #IsraeliTerrorism,-0.6908
1396846102314422272,https://twitter.com/IDF/status/1396846102314422272,IDF,"“There are people in this room who have saved lives—remember that this is what the IDF stands for.""\n\n—IDF Chief of Staff LTG Aviv Kohavi at the Southern Command HQ yesterday as part of a series of visits to units which participated in Operation Guardian of the Walls https://t.co/UXq3Q8zFMl",0.4215
1405147406715572225,https://twitter.com/ZackRaymos/status/1405147406715572225,ZackRaymos,"@IDF #VisitIsrael to witness the occupied land, #SupportIsrael is to support genocide and ethnic cleansing. #LoveIsrael is to love the evil, fascist and apartheid regime.",-0.2732
1405064831095410693,https://twitter.com/rssdogs/status/1405064831095410693,rssdogs,@IDF תן מוות לציוניסטים השטניים ויהודים אורתודוכסים,0.0
1404903086540214272,https://twitter.com/fadhi01092627/status/1404903086540214272,fadhi01092627,@IDF https://t.co/MPyimfofWO,0.0
1404902974392991748,https://twitter.com/fadhi01092627/status/1404902974392991748,fadhi01092627,@IDF https://t.co/uABU1Z0h0f,0.0
1404890889483337734,https://twitter.com/1997Shelter/status/1404890889483337734,1997Shelter,@IDF 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,0.0
1404711159287091203,https://twitter.com/iesyawaniey/status/1404711159287091203,iesyawaniey,@IDF #VisitIsrael #saveisrael #iloveisrael\nThey are being denied of a basic human rights. Their Palestine kids childhood are being robbed from them. Spread the awareness. #FreePalestine #Prayforpalestine #StandwithPalestine #ShameOnIsrael #IsraelKoyak,-0.4404
1404281043994124292,https://twitter.com/AimanIr43568939/status/1404281043994124292,AimanIr43568939,@IDF Meeting PIBG pun nk post ke?,0.0
1403943308221579264,https://twitter.com/QuranGenius/status/1403943308221579264,QuranGenius,@IDF Israhell are terrorist https://t.co/Fj76IrWYt9,-0.6908
1397571446973419522,https://twitter.com/SufyanArafath/status/1397571446973419522,SufyanArafath,@Govindkumarmath @IDF Ignore it..True Indians always stand with palestine people...!!\n#savepalestinians,-0.4738
